name,map,AP(rel=2),P(rel=2)@10,nDCG,nDCG@10,nDCG@100,mrt
TF_IDF,0.18441627070464045,0.16184640939910036,0.49999999999999994,0.39341318657719965,0.610164664067369,0.45734087775172527,144.07276484183967
BM25,0.14496476602551356,0.12819376117105805,0.42200000000000004,0.3338205404117252,0.5055789202277453,0.36177756442444786,93.03407569415867
BM25 >> BERT,0.07374993881466882,0.05965711064115766,0.05400000000000001,0.26980533413482155,0.05848317759595087,0.11176163935943881,10105.7082854677
BM25 >> SLEDGE,0.1879097320498873,0.1788910198878596,0.6219999999999999,0.36572991435687635,0.7157166186858614,0.5221746212710847,9672.97398221679
BM25 >> BERT c=10,0.010971524166991563,0.015385898829255736,0.41800000000000004,0.043744674903341135,0.47855942680600827,0.1055132626144292,176.2769913021475
BM25 >> BERT c=20,0.017087996292319156,0.019509455594749488,0.4099999999999999,0.05888107432244606,0.4660203734538914,0.1484511776839187,268.1660283822566
BM25 >> BERT c=30,0.02343341963243152,0.025046509309292513,0.392,0.07309408633090947,0.4516394916163089,0.18594988711892982,370.50483032129705
BM25 >> BERT c=40,0.028403085337533825,0.029580660239216884,0.39399999999999996,0.08423280666928762,0.44285745407938437,0.21551851061183494,481.5549021959305
BM25 >> BERT c=50,0.03197231697332335,0.03318153689365978,0.35600000000000004,0.09205288539158231,0.4012198867724056,0.23755687876838505,594.76249223575
BM25 >> BERT c=60,0.036951595228834205,0.0365901169801849,0.3620000000000001,0.10133227784837848,0.40206611095559247,0.26195242860251283,715.8826538920403
BM25 >> BERT c=70,0.040471562659095774,0.040319816245469306,0.336,0.10843038761771796,0.37595518122712357,0.2820905679180872,812.9392095189542
BM25 >> BERT c=80,0.04226755048639122,0.04216811800862544,0.3220000000000001,0.11311505099524301,0.35672066858273377,0.2981729921045245,931.634208522737
BM25 >> BERT c=90,0.045244513693734764,0.04399829882890665,0.30400000000000005,0.11880224649772382,0.34098843364937204,0.3147878711797148,1032.7986998390406
BM25 >> BERT c=100,0.04803201964882467,0.046833460606002644,0.30200000000000005,0.12526154034195283,0.3353141801647629,0.33155832029567556,1134.4440948031843
BM25 >> SLEDGE c=10,0.012525234759182427,0.01840752038766593,0.41800000000000004,0.04899440978466197,0.5363019053297806,0.11823084106650335,175.86806202307343
BM25 >> SLEDGE c=20,0.02071313868438194,0.02506141167573211,0.498,0.06740950747795661,0.6126414564314981,0.16835845455056156,255.8298639394343
BM25 >> SLEDGE c=30,0.028841705121618308,0.03314881821241904,0.5499999999999999,0.08484493564398261,0.6643490167418892,0.2140240473961629,357.63736023567617
BM25 >> SLEDGE c=40,0.036413153618996434,0.04138696042810488,0.5879999999999999,0.09963099222944324,0.6953481639068855,0.2521567331485753,454.02287918142974
BM25 >> SLEDGE c=50,0.04241166516885394,0.047846042770644026,0.588,0.11087060359841566,0.6986053129927722,0.28226555334629244,561.4100100751966
BM25 >> SLEDGE c=60,0.049348477788802476,0.05307414130148393,0.582,0.12199852854122238,0.7061946748600121,0.31123923118921376,670.3289096616209
BM25 >> SLEDGE c=70,0.05420648485531899,0.05878822654294422,0.602,0.1306471232482345,0.7163561028912007,0.3357224360264873,766.4031026232988
BM25 >> SLEDGE c=80,0.05903143621326287,0.06344199196156798,0.6019999999999999,0.13810581222216795,0.7173983062924905,0.35664738731656775,872.3253219667822
BM25 >> SLEDGE c=90,0.06370632073870994,0.06795934516052132,0.5979999999999999,0.14561993698784367,0.7115231997365749,0.3777373353592941,974.5225998014212
BM25 >> SLEDGE c=100,0.06859747507722781,0.07254195952587464,0.5919999999999999,0.15366206617438283,0.7119767040068554,0.3987307403313619,1067.785699479282
